url,alt,caption,credit
https://s3.amazonaws.com/snwceomedia/ids/c49470d8-6401-4a8c-9dde-eaafc528e035.original.jpg,Two people in red shirts and hats work inside of a food truk that reads fresh made lemonade on the side.,"People work in a lemonade stand at the Monroe County Fair on July 1, 2025. The fair opened June 30 and runs until July 6."
https://s3.amazonaws.com/snwceomedia/ids/dd78513d-6e4c-4d12-b7c7-e1a6afba27e9.original.jpg,A girl holds a tan and white bird under her left arm while a man in a cowboy hat and white shirt makes an announcement with a microphone.,"Hollis Selo holds a buff laced Polish chicken during the small animal auction at the Monroe County Fair on July 1, 2025. Selo has been raising chickens like this one for three years as part of 4-H."
https://s3.amazonaws.com/snwceomedia/ids/81613c96-f74c-4a26-8109-d0743a9a3b5f.original.jpg,A woman in a black tank top and sunglasses smiles as she holds a tan and white bird.,"A woman holds a buff laced Polish chicken at the Monroe County Fair on July 1, 2025. Hollis Selo, a sophomore at Bloomington High School South, raised the chicken and sold it at Tuesday’s small animal auction."
https://s3.amazonaws.com/snwceomedia/ids/8ec11202-2001-47b7-9297-3fedc4506f4b.original.jpg,A jar of dried corn kernels with a tag and blue ribbon attached to it.,"The winning corn in the seed division of the Monroe County Fair sits in a display tent July 1, 2025. The gardening section of 4-H was judged June 26 and set up for attendees to survey during the rest of the fair."
https://s3.amazonaws.com/snwceomedia/ids/b7ca04b8-899d-4ea6-a213-ae09355c2986.original.jpg,Children stare intently while holding lambs by the head and walking them around a pen.,"4-H participants lead lambs around the showing area at the Monroe County Fair on July 1, 2025. 4-H is a national youth development organization often associated with raising livestock."
https://s3.amazonaws.com/snwceomedia/ids/aaf7610f-77be-4a00-8009-73e42bfbc64d.original.jpg,A girl in a pink shirt holds a lamb by the head.,"A 4-H participant holds a lamb during a judging session at the Monroe County Fair on July 1, 2025. 4-H'ers can raise and show animals such as chickens, rabbits, sheep and horses."
https://s3.amazonaws.com/snwceomedia/ids/e221787e-6196-46bc-ad5a-d0a0220df385.original.jpg,People crowd around a dinosaur.,"A man in an animatronic Tyrannosaurus Rex costume interacts with child spectators at the Monroe County Fair on July 1, 2025. He was a part of the “Dinosaur Show” exhibit which was at the fair from June 30 – July 5."
https://s3.amazonaws.com/snwceomedia/ids/fe8bb629-436f-4db0-8863-abc21f110116.original.jpg,A woman in a black tank top and a hat smiles and makes lemonade on a sunny day.,"Jane Siedel smiles while shaking up lemons, sugar and water to make a lemon shake up at Monroe County Fair on July 1, 2025. She was helping her friends with their stall, which they had brought to the fair for the last decade."
https://s3.amazonaws.com/snwceomedia/ids/d2093b34-dae8-42a0-9ce7-84701a9493b3.original.jpg,A girl throws an orange ring while an older man in a greed shirt watches.,"A girl attempts to toss a ring over a bottle neck to win a prize at a stall at the Monroe County Fair on July 1, 2025. The carnival area of the fair had many different stalls where attendees could pay to play for a prize."
https://s3.amazonaws.com/snwceomedia/ids/93c7a362-1f8e-44d7-bb37-0a364074f564.original.jpg,Someone smiles and spreads their arms wide on a carnival swing.,"A Monroe County Fair attendee lifts her arms up on a swing ride at the fair July 1, 2025. The fair cost $5 for adults to attend, but tickets for the carnival had to be purchased separately."
https://s3.amazonaws.com/snwceomedia/ids/72a12a06-a9bf-40a9-aff1-778e0c5e8c66.original.jpg,Participants sit on swings near the ground as someone checks their seatbelts.,"A fair worker checks seatbelt safety prior to starting the swing ride at the Monroe County Fair on July 1, 2025. Most of the people who worked in the carnival section of the fair wore blue jumpsuits to easily identify them."
https://s3.amazonaws.com/snwceomedia/ids/ff11bd4e-9c26-4891-9c4c-c0ba655bef73.original.jpg,Someone standing up behind a bike that’s lyingo n the ground in front of a haybale.,"A Supercross racer stands up after crashing during a race in the Grandstand arena at the Monroe County Fair on July 1, 2025. The arena had different racing events throughout the week."
https://s3.amazonaws.com/snwceomedia/ids/4053bd6b-73a6-437e-95fe-f14defd2142f.original.jpg,A crowd of people sitting in bleachers.,"People watch Supercross races in the Grandstand arena at the Monroe County Fair on July 1, 2025. The arena will host a rodeo, go-kart races and a demolition derby during the fair."
https://s3.amazonaws.com/snwceomedia/ids/838fa205-a4c9-42b8-ae11-210faeff905e.original.jpg,Three dirt bike riderse go over a large bump one after the other.,"Supercross racers drive over a hill in the arena at the Monroe County Fair on July 1, 2025. Supercross is a type of motocross racing that utilizes man-made dirt arenas."
https://s3.amazonaws.com/snwceomedia/ids/22338644-ff34-4eb7-9efc-fb3dea7a56d0.original.jpg,A dirt bike turns to the left of a hay bale.,"A Supercross racer drives out of the starting line into the arena at the Monroe County Fair on July 1, 2025. Fair attendees could purchase a ticket to watch the arena races for $10."
